name,code,url,DRY.Maxi,STEAM.Maxi22 l/sec,AIR.Maxi,ADAPTIVE.Cooking,AIR.Plus,SMART.Preheating,Dry.Maxi45 m3/h,STEAM.Plus,AUTO.Soft,DRY.Plus,Air.Maxi250 km/h,DDC.Ai,STEAM.Maxi,DDC.App,STEAM.Maxi14 l/sec,DDC.Unox.com,CLIMALUX,AUTO.Matic,DDC.Stats,SENSE.Klean,EFFICENT.Power,analog_control,high_productivity,professional_use,hot_fridge,automatic_cycles,internet_connection,baking_frozen_products,designed_commercial,compact_oven,self_cleaning,price,type,panel,powersupply,width,depth,height,weight,trays,traysize,distancebetweentrays,voltage,electricpower,frequency,consumption
BAKERLUX & LINEMISS MANUAL,XB693,https://unox.com/en_fr/ovens/bakerlux-linemiss-manual-xb693/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3600.00,Commercial convection ovens with humidity,Knob,Electric,860.00,882.00,932.00,86.00,6.00,600x400,80.00,380-415V 3N~ / 220-240V 3~,10.50,50 / 60 Hz,
BAKERLUX & LINEMISS MANUAL,XB613G,https://unox.com/en_fr/ovens/bakerlux-linemiss-manual-xb613g/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4750.00,Commercial convection ovens with humidity,Knob,Gas,860.00,882.00,1144.00,100.00,6.00,600x400,80.00,220-240V 1~,0.70,50 / 60 Hz,
CHEFTOP-X Digital.ID,XEDA-0611-EXRS,https://unox.com/en_fr/ovens/cheftop-x-xeda-0611-exrs/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10750.00,Commercial countertop combi ovens,"16"" Touch control panel",Electric,750.00,841.00,789.00,114.00,6.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,11.60,50 / 60 Hz,27.40
CHEFTOP-X Digital.ID,XEDA-0611-GXRS,https://unox.com/en_fr/ovens/cheftop-x-xeda-0611-gxrs/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12800.00,Commercial countertop combi ovens,"16"" Touch control panel",Gas,750.00,841.00,789.00,132.00,6.00,GN 1/1,67.00,220-240V 1~,1.40,50 / 60 Hz,34.20
CHEFTOP-X Digital.ID,XEDA-0621-EXRS,https://unox.com/en_fr/ovens/cheftop-x-xeda-0621-exrs/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16400.00,Commercial countertop combi ovens,"16"" Touch control panel",Electric,860.00,1180.00,849.00,150.00,6.00,GN 2/1,77.00,380-415V 3N~ / 220-240V 3~,23.10,50 / 60 Hz,91.00
CHEFTOP-X Digital.ID,XEDA-0621-GXRS,https://unox.com/en_fr/ovens/cheftop-x-xeda-0621-gxrs/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19050.00,Commercial countertop combi ovens,"16"" Touch control panel",Gas,860.00,1180.00,849.00,168.00,6.00,GN 2/1,77.00,220-240V 1~,1.40,50 / 60 Hz,113.60
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0711-EPRM-MS,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0711-eprm-ms/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8400.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,843.00,86.00,7.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,11.70,50 / 60 Hz,
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0711-EPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0711-eprm/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7950.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,843.00,86.00,7.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,11.70,50 / 60 Hz,29.40
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0711-GPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0711-gprm/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8600.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Gas,750.00,783.00,843.00,104.00,7.00,GN 1/1,67.00,220-240V 1N~,1.00,50 / 60 Hz,36.70
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0711-GPRM-MS,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0711-gprm-ms/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9050.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Gas,750.00,783.00,843.00,104.00,7.00,GN 1/1,67.00,220-240V 1N~,1.00,50 / 60 Hz,
